*SUMMARY : KSGC3038SN FINNEY COUNTY MODELING                                       DSSAT Cropping System Model Ver. 4.7.1.001 -release      JUL 23, 2019; 16:38:07

!IDENTIFIERS......................... EXPERIMENT AND TREATMENT.......... SITE INFORMATION............ DATES..........................................  DRY WEIGHT, YIELD AND YIELD COMPONENTS........................................  WATER...............................................  NITROGEN............................................  PHOSPHORUS............  POTASSIUM.............  ORGANIC MATTER..........................................    WATER PRODUCTIVITY..................................................    NITROGEN PRODUCTIVITY...........  SEASONAL ENVIRONMENTAL DATA (Planting to harvest)..............
@   RUNNO   TRNO R# O# C# CR MODEL... EXNAME.. TNAM..................... FNAM.... WSTA.... SOIL_ID...    SDAT    PDAT    EDAT    ADAT    MDAT    HDAT  DWAP    CWAM    HWAM    HWAH    BWAH  PWAM    HWUM    H#AM    H#UM  HIAM  LAIX  IR#M  IRCM  PRCM  ETCM  EPCM  ESCM  ROCM  DRCM  SWXM  NI#M  NICM  NFXM  NUCM  NLCM  NIAM  CNAM  GNAM N2OEC  PI#M  PICM  PUPC  SPAM  KI#M  KICM  KUPC  SKAM  RECM  ONTAM   ONAM  OPTAM   OPAM   OCTAM    OCAM   CO2EC    DMPPM    DMPEM    DMPTM    DMPIM     YPPM     YPEM     YPTM     YPIM    DPNAM    DPNUM    YPNAM    YPNUM  NDCH TMAXA TMINA SRADA DAYLA   CO2A   PRCP   ETCP   ESCP   EPCP
        1      1  1  1  0 MZ MZCER047 KSGC3038 25%_IFREQ_2               FNYCO001 GRRD8101 KS00000005 1981061 1981130 1981143 1981212 1981289 1981289   -99   28654   18249   18249   10471 23433  0.3255    5606   737.7 0.637   3.8    11   275   396   732   468   264     6    17   152     1   250     0   351     1    61   274   243   -99   -99   -99   -99   -99   -99   -99   -99   -99     0  19794  19794      0      0  226521  226521     -99    103.3     45.7     61.2    104.2     65.8     29.1     39.0     66.4    114.6     81.6     73.0     52.0   159  28.7  13.7  27.0  13.5  380.0  277.3  627.6  160.0  468.4
        2      1  1  1  0 MZ MZCER047 KSGC3038 25%_IFREQ_2               FNYCO001 GRRD8201 KS00000005 1982061 1982130 1982140 1982216 1982307 1982307   -99   27851   17162   17162   10755 21798  0.3155    5440   715.8 0.616   4.3     9   225   487   751   457   294    14    39   150     1   250     0   349     1    72   272   228   -99   -99   -99   -99   -99   -99   -99   -99   -99     0  19786  19786      0      0  226435  226435     -99     68.7     41.6     60.9    123.8     42.3     25.7     37.5     76.3    111.4     79.8     68.6     49.2   177  27.1  12.3  25.8  13.2  380.0  405.3  669.0  211.5  457.5
        3      1  1  1  0 MZ MZCER047 KSGC3038 25%_IFREQ_2               FNYCO001 GRRD8301 KS00000005 1983061 1983130 1983145 1983222 1983294 1983294   -99   24193   13653   13653   10613 18246  0.2489    5486   721.8 0.564   4.4    16   400   354   790   456   334     2    39   140     1   250     0   322     1    81   235   188   -99   -99   -99   -99   -99   -99   -99   -99   -99     0  19802  19802      0      0  226684  226684     -99     89.4     35.0     53.0     60.5     50.4     19.7     29.9     34.1     96.8     75.1     54.6     42.4   164  29.3  13.6  27.0  13.4  380.0  270.7  692.1  235.9  456.3
        4      1  1  1  0 MZ MZCER047 KSGC3038 25%_IFREQ_2               FNYCO001 GRRD8401 KS00000005 1984061 1984130 1984137 1984211 1984285 1984285   -99   26008   15454   15454   10621 20456  0.2839    5443   716.2 0.594   4.0    17   425   326   773   488   286     5    28   158     1   250     0   336     0    58   246   209   -99   -99   -99   -99   -99   -99   -99   -99   -99     0  19815  19815      0      0  226820  226820     -99    162.9     41.5     53.3     61.2     96.8     24.7     31.7     36.4    104.0     77.4     61.8     46.0   155  30.0  13.8  27.9  13.6  380.0  159.7  626.9  139.2  487.7
        5      1  1  1  0 MZ MZCER047 KSGC3038 25%_IFREQ_2               FNYCO001 GRRD8501 KS00000005 1985061 1985130 1985140 1985214 1985280 1985280   -99   26003   15599   15599   10467 20771  0.2790    5591   735.6 0.600   3.8     8   200   430   676   447   230    21    17   162     1   250     0   353     0    58   266   226   -99   -99   -99   -99   -99   -99   -99   -99   -99     0  19797  19797      0      0  226582  226582     -99     81.8     45.4     58.2    130.0     49.1     27.3     34.9     78.0    104.0     73.7     62.4     44.2   150  29.0  13.0  27.9  13.6  380.0  317.8  572.4  125.7  446.7
        6      1  1  1  0 MZ MZCER047 KSGC3038 25%_IFREQ_2               FNYCO001 GRRD8601 KS00000005 1986061 1986130 1986137 1986210 1986282 1986282   -99   28099   17442   17442   10725 22282  0.3041    5736   754.7 0.621   4.3    13   325   312   719   493   225     3     0   143     1   250     0   343     0    74   265   231   -99   -99   -99   -99   -99   -99   -99   -99   -99     0  19787  19787      0      0  226412  226412     -99    105.7     42.9     57.0     86.5     65.6     26.7     35.4     53.7    112.4     81.9     69.8     50.9   152  29.6  15.0  27.5  13.6  380.0  265.9  654.4  162.9  493.4
        7      1  1  1  0 MZ MZCER047 KSGC3038 25%_IFREQ_2               FNYCO001 GRRD8701 KS00000005 1987061 1987130 1987136 1987214 1987306 1987306   -99   29198   17289   17289   11991 22322  0.3135    5515   725.7 0.592   4.8    13   325   464   823   526   297    10    46   138     1   250     0   366     1    60   265   216   -99   -99   -99   -99   -99   -99   -99   -99   -99     0  19791  19791      0      0  226628  226628     -99     85.7     40.4     55.5     89.8     50.7     23.9     32.9     53.2    116.8     79.8     69.2     47.2   176  28.3  12.8  26.6  13.2  380.0  340.9  721.9  196.0  526.0
        8      1  1  1  0 MZ MZCER047 KSGC3038 25%_IFREQ_2               FNYCO001 GRRD8801 KS00000005 1988061 1988130 1988136 1988210 1988279 1988279   -99   27638   17244   17244   10462 21955  0.3131    5508   724.7 0.624   4.1    15   375   260   700   498   202     1     2   152     1   250     0   355     0    52   268   233   -99   -99   -99   -99   -99   -99   -99   -99   -99     0  19801  19801      0      0  226594  226594     -99    138.2     44.6     55.5     73.7     86.2     27.8     34.6     46.0    110.6     77.9     69.0     48.6   149  30.5  14.6  27.3  13.7  380.0  200.0  620.3  123.1  497.9
        9      1  1  1  0 MZ MZCER047 KSGC3038 25%_IFREQ_2               FNYCO001 GRRD8901 KS00000005 1989061 1989130 1989140 1989216 1989298 1989298   -99   26994   15575   15575   11483 21536  0.2990    5209   685.4 0.577   4.0    10   250   469   747   448   299    14    39   158     1   250     0   362     2    53   276   230   -99   -99   -99   -99   -99   -99   -99   -99   -99     0  19792  19792      0      0  226543  226543     -99     63.7     40.0     60.2    108.0     36.7     23.1     34.8     62.3    108.0     74.6     62.3     43.0   168  27.0  12.2  26.2  13.4  380.0  423.9  675.0  226.8  448.1
       10      1  1  1  0 MZ MZCER047 KSGC3038 25%_IFREQ_2               FNYCO001 GRRD9001 KS00000005 1990061 1990130 1990139 1990216 1990294 1990294   -99   27864   15991   15991   11945 21784  0.2882    5548   730.0 0.574   4.4    16   400   365   792   510   282    12    40   138     1   250     0   344     1    62   247   207   -99   -99   -99   -99   -99   -99   -99   -99   -99     0  19806  19806      0      0  226790  226790     -99    117.6     41.7     54.6     69.7     67.5     23.9     31.3     40.0    111.5     81.0     64.0     46.5   164  29.4  13.3  27.4  13.4  380.0  236.9  667.8  157.5  510.4
       11      1  1  1  0 MZ MZCER047 KSGC3038 25%_IFREQ_2               FNYCO001 GRRD9101 KS00000005 1991061 1991130 1991136 1991205 1991277 1991277   -99   28816   17586   17586   11300 22980  0.3107    5659   744.7 0.610   4.3    12   300   422   757   502   254    18    39   139     1   250     0   350     2    59   267   234   -99   -99   -99   -99   -99   -99   -99   -99   -99     0  19796  19796      0      0  226522  226522     -99     81.8     43.1     57.4     96.1     49.9     26.3     35.0     58.6    115.3     82.3     70.3     50.2   147  30.4  15.3  28.1  13.7  380.0  352.2  668.0  167.1  502.4
