Well_ID,Soil_Type
201,KSFC000007
218,KSFC000002
238,KSFC000007
296,KSFC000004
304,KSFC000007
310,KSFC000002
310,KSFC000006
310,KSFC000004
310,KSFC000006
310,KSFC000006
577,KSFC000005
636,KSFC000007
666,KSFC000007
731,KSFC000003
731,KSFC000003
779,KSFC000007
830,KSFC000007
833,KSFC000004
833,KSFC000004
833,KSFC000004
871,KSFC000006
927,KSFC000006
954,KSFC000007
1024,KSFC000004
1040,KSFC000007
1081,KSFC000006
1123,KSFC000001
1123,KSFC000001
1151,KSFC000007
1381,KSFC000004
1381,KSFC000004
1387,KSFC000005
1408,KSFC000004
1465,KSFC000007
1481,KSFC000004
1650,KSFC000002
1752,KSFC000007
1764,KSFC000004
1788,KSFC000003
1803,KSFC000002
1803,KSFC000002
1825,KSFC000004
1854,KSFC000007
1953,KSFC000006
2071,KSFC000004
2071,KSFC000004
2074,KSFC000006
2082,KSFC000001
2120,KSFC000007
2123,KSFC000007
2399,KSFC000004
2424,KSFC000007
2429,KSFC000006
2429,KSFC000004
2429,KSFC000004
2429,KSFC000006
2626,KSFC000006
2626,KSFC000006
2626,KSFC000006
2756,KSFC000003
2856,KSFC000004
2856,KSFC000006
2856,KSFC000004
2869,KSFC000007
2913,KSFC000007
3058,KSFC000007
3132,KSFC000001
3147,KSFC000004
3194,KSFC000006
3227,KSFC000004
3231,KSFC000004
3231,KSFC000004
3235,KSFC000007
3240,KSFC000007
3323,KSFC000001
3374,KSFC000007
3374,KSFC000007
3384,KSFC000007
3414,KSFC000007
3462,KSFC000002
3561,KSFC000001
3561,KSFC000001
3569,KSFC000007
3578,KSFC000007
3598,KSFC000005
3664,KSFC000007
3702,KSFC000004
3723,KSFC000007
3725,KSFC000001
3745,KSFC000004
3758,KSFC000007
3781,KSFC000006
3846,KSFC000004
4120,KSFC000007
4120,KSFC000006
4126,KSFC000007
4157,KSFC000005
4263,KSFC000007
4322,KSFC000004
4322,KSFC000004
4322,KSFC000004
4322,KSFC000004
4408,KSFC000001
4605,KSFC000004
4619,KSFC000004
4701,KSFC000007
4730,KSFC000004
4798,KSFC000007
4798,KSFC000007
4798,KSFC000007
4798,KSFC000007
4831,KSFC000006
4834,KSFC000006
4884,KSFC000007
4968,KSFC000007
5016,KSFC000004
5078,KSFC000007
5091,KSFC000004
5193,KSFC000001
5302,KSFC000004
5306,KSFC000007
5328,KSFC000007
5388,KSFC000004
5421,KSFC000002
5447,KSFC000002
5452,KSFC000002
5468,KSFC000004
5521,KSFC000006
5532,KSFC000007
5599,KSFC000005
5626,KSFC000007
5628,KSFC000006
5633,KSFC000007
5727,KSFC000004
5727,KSFC000004
5740,KSFC000006
5740,KSFC000004
5755,KSFC000004
5787,KSFC000004
5787,KSFC000004
5804,KSFC000002
5826,KSFC000004
5898,KSFC000007
5969,KSFC000007
5995,KSFC000007
6312,KSFC000002
6451,KSFC000006
6468,KSFC000001
6488,KSFC000007
6530,KSFC000004
6544,KSFC000004
6696,KSFC000006
6696,KSFC000001
6760,KSFC000001
6760,KSFC000001
6825,KSFC000007
7163,KSFC000006
7180,KSFC000006
7283,KSFC000004
7317,KSFC000003
7401,KSFC000004
7517,KSFC000007
7587,KSFC000001
7637,KSFC000001
7666,KSFC000006
7677,KSFC000006
7677,KSFC000004
7750,KSFC000006
7784,KSFC000007
7816,KSFC000004
7831,KSFC000003
7831,KSFC000006
7831,KSFC000003
7834,KSFC000004
7840,KSFC000004
7840,KSFC000004
7848,KSFC000007
7871,KSFC000001
7939,KSFC000003
7939,KSFC000006
8060,KSFC000006
8067,KSFC000007
8081,KSFC000007
8083,KSFC000003
8083,KSFC000002
8083,KSFC000002
8130,KSFC000004
8133,KSFC000007
8168,KSFC000005
8172,KSFC000001
8230,KSFC000007
8253,KSFC000006
8253,KSFC000006
8338,KSFC000001
8510,KSFC000004
8522,KSFC000004
8528,KSFC000002
8643,KSFC000006
8676,KSFC000007
8693,KSFC000007
8800,KSFC000007
8805,KSFC000007
8840,KSFC000006
8840,KSFC000001
8840,KSFC000006
8840,KSFC000001
8844,KSFC000006
8844,KSFC000006
8844,KSFC000004
8860,KSFC000002
8881,KSFC000006
8979,KSFC000007
9019,KSFC000004
9082,KSFC000004
9110,KSFC000007
9363,KSFC000004
9378,KSFC000004
9430,KSFC000004
9459,KSFC000001
9459,KSFC000001
9459,KSFC000001
9459,KSFC000001
9459,KSFC000001
