Well_ID,Soil_Type
1001,KSFC000007
1002,KSFC000007
1003,KSFC000007
1004,KSFC000007
1005,KSFC000007
1006,KSFC000007
1007,KSFC000007
1008,KSFC000007
1009,KSFC000007
1010,KSFC000007
1011,KSFC000007
1012,KSFC000007
1013,KSFC000007
1014,KSFC000007
1015,KSFC000007
1016,KSFC000007
1017,KSFC000007
1018,KSFC000007
1019,KSFC000007
1020,KSFC000007
1021,KSFC000007
1022,KSFC000007
1023,KSFC000007
1024,KSFC000007
1025,KSFC000007
1026,KSFC000007
1027,KSFC000007
1028,KSFC000007
1029,KSFC000007
1030,KSFC000007
1031,KSFC000007
1032,KSFC000007
1033,KSFC000007
1034,KSFC000007
1035,KSFC000007
1036,KSFC000007
1037,KSFC000007
1038,KSFC000007
1039,KSFC000007
1040,KSFC000007
1041,KSFC000007
1042,KSFC000007
1043,KSFC000007
1044,KSFC000007
1045,KSFC000007
1046,KSFC000007
1047,KSFC000007
1048,KSFC000007
1049,KSFC000007
1050,KSFC000007
1051,KSFC000007
1052,KSFC000007
1053,KSFC000007
1054,KSFC000007
1055,KSFC000007
1056,KSFC000007
1057,KSFC000007
1058,KSFC000007
1059,KSFC000007
1060,KSFC000007
1061,KSFC000007
1062,KSFC000007
1063,KSFC000007
1064,KSFC000007
1065,KSFC000007
1066,KSFC000007
1067,KSFC000007
1068,KSFC000007
1069,KSFC000007
1070,KSFC000007
1071,KSFC000007
1072,KSFC000007
1073,KSFC000007
1074,KSFC000007
1075,KSFC000007
1076,KSFC000007
1077,KSFC000007
1078,KSFC000007
1079,KSFC000007
1080,KSFC000007
1081,KSFC000007
1082,KSFC000007
1083,KSFC000007
1084,KSFC000007
1085,KSFC000007
1086,KSFC000007
1087,KSFC000007
1088,KSFC000007
1089,KSFC000007
1090,KSFC000007
1091,KSFC000007
1092,KSFC000007
1093,KSFC000007
1094,KSFC000007
1095,KSFC000007
1096,KSFC000007
1097,KSFC000007
1098,KSFC000007
1099,KSFC000007
1100,KSFC000007
1101,KSFC000007
1102,KSFC000007
1103,KSFC000007
1104,KSFC000007
1105,KSFC000007
1106,KSFC000007
1107,KSFC000007
1108,KSFC000007
1109,KSFC000007
1110,KSFC000007
1111,KSFC000007
1112,KSFC000007
1113,KSFC000007
1114,KSFC000007
1115,KSFC000007
1116,KSFC000007
1117,KSFC000007
1118,KSFC000007
1119,KSFC000007
1120,KSFC000007
1121,KSFC000007
1122,KSFC000007
1123,KSFC000007
1124,KSFC000007
1125,KSFC000007
1126,KSFC000007
1127,KSFC000007
1128,KSFC000007
1129,KSFC000007
1130,KSFC000007
1131,KSFC000007
1132,KSFC000007
1133,KSFC000007
1134,KSFC000007
1135,KSFC000007
1136,KSFC000007
1137,KSFC000007
1138,KSFC000007
1139,KSFC000007
1140,KSFC000007
1141,KSFC000007
1142,KSFC000007
1143,KSFC000007
1144,KSFC000007
1145,KSFC000007
1146,KSFC000007
1147,KSFC000007
1148,KSFC000007
1149,KSFC000007
1150,KSFC000007
1151,KSFC000007
1152,KSFC000007
1153,KSFC000007
1154,KSFC000007
1155,KSFC000007
1156,KSFC000007
1157,KSFC000007
1158,KSFC000007
1159,KSFC000007
1160,KSFC000007
1161,KSFC000007
1162,KSFC000007
1163,KSFC000007
1164,KSFC000007
1165,KSFC000007
1166,KSFC000007
1167,KSFC000007
1168,KSFC000007
1169,KSFC000007
1170,KSFC000007
1171,KSFC000007
1172,KSFC000007
1173,KSFC000007
1174,KSFC000007
1175,KSFC000007
1176,KSFC000007
1177,KSFC000007
1178,KSFC000007
1179,KSFC000007
1180,KSFC000007
1181,KSFC000007
1182,KSFC000007
1183,KSFC000007
1184,KSFC000007
1185,KSFC000007
1186,KSFC000007
1187,KSFC000007
1188,KSFC000007
1189,KSFC000007
1190,KSFC000007
1191,KSFC000007
1192,KSFC000007
1193,KSFC000007
1194,KSFC000007
1195,KSFC000007
1196,KSFC000007
1197,KSFC000007
1198,KSFC000007
1199,KSFC000007
1200,KSFC000007
1201,KSFC000007
1202,KSFC000007
1203,KSFC000007
1204,KSFC000007
1205,KSFC000007
1206,KSFC000007
1207,KSFC000007
1208,KSFC000007
1209,KSFC000007
1210,KSFC000007
1211,KSFC000007
1212,KSFC000007
1213,KSFC000007
1214,KSFC000007
1215,KSFC000007
1216,KSFC000007
1217,KSFC000007
1218,KSFC000007
1219,KSFC000007
1220,KSFC000007
1221,KSFC000007
1222,KSFC000007
1223,KSFC000007
1224,KSFC000007
1225,KSFC000007
1226,KSFC000007
1227,KSFC000007
1228,KSFC000007
1229,KSFC000007
1230,KSFC000007
1231,KSFC000007
1232,KSFC000007
1233,KSFC000007
1234,KSFC000007
1235,KSFC000007
1236,KSFC000007
1237,KSFC000007
1238,KSFC000007
1239,KSFC000007
1240,KSFC000007
1241,KSFC000007
1242,KSFC000007
1243,KSFC000007
1244,KSFC000007
1245,KSFC000007
1246,KSFC000007
1247,KSFC000007
1248,KSFC000007
1249,KSFC000007
1250,KSFC000007
1251,KSFC000007
1252,KSFC000007
1253,KSFC000007
1254,KSFC000007
1255,KSFC000007
1256,KSFC000007
1257,KSFC000007
1258,KSFC000007
1259,KSFC000007
1260,KSFC000007
1261,KSFC000007
1262,KSFC000007
1263,KSFC000007
1264,KSFC000007
1265,KSFC000007
1266,KSFC000007
1267,KSFC000007
1268,KSFC000007
1269,KSFC000007
1270,KSFC000007
1271,KSFC000007
1272,KSFC000007
1273,KSFC000007
1274,KSFC000007
1275,KSFC000007
1276,KSFC000007
1277,KSFC000007
1278,KSFC000007
1279,KSFC000007
1280,KSFC000007
1281,KSFC000007
1282,KSFC000007
1283,KSFC000007
1284,KSFC000007
1285,KSFC000007
1286,KSFC000007
1287,KSFC000007
1288,KSFC000007
1289,KSFC000007
1290,KSFC000007
1291,KSFC000007
1292,KSFC000007
1293,KSFC000007
1294,KSFC000007
1295,KSFC000007
1296,KSFC000007
1297,KSFC000007
1298,KSFC000007
1299,KSFC000007
1300,KSFC000007
1301,KSFC000007
1302,KSFC000007
1303,KSFC000007
1304,KSFC000007
1305,KSFC000007
1306,KSFC000007
1307,KSFC000007
1308,KSFC000007
1309,KSFC000007
1310,KSFC000007
1311,KSFC000007
1312,KSFC000007
1313,KSFC000007
1314,KSFC000007
1315,KSFC000007
1316,KSFC000007
1317,KSFC000007
1318,KSFC000007
1319,KSFC000007
1320,KSFC000007
1321,KSFC000007
1322,KSFC000007
1323,KSFC000007
1324,KSFC000007
1325,KSFC000007
1326,KSFC000007
1327,KSFC000007
1328,KSFC000007
1329,KSFC000007
1330,KSFC000007
1331,KSFC000007
1332,KSFC000007
1333,KSFC000007
1334,KSFC000007
1335,KSFC000007
1336,KSFC000007
1337,KSFC000007
1338,KSFC000007
1339,KSFC000007
1340,KSFC000007
1341,KSFC000007
1342,KSFC000007
1343,KSFC000007
1344,KSFC000007
1345,KSFC000007
1346,KSFC000007
1347,KSFC000007
1348,KSFC000007
1349,KSFC000007
1350,KSFC000007
1351,KSFC000007
1352,KSFC000007
1353,KSFC000007
1354,KSFC000007
1355,KSFC000007
1356,KSFC000007
1357,KSFC000007
1358,KSFC000007
1359,KSFC000007
1360,KSFC000007
1361,KSFC000007
1362,KSFC000007
1363,KSFC000007
1364,KSFC000007
1365,KSFC000007
1366,KSFC000007
1367,KSFC000007
1368,KSFC000007
1369,KSFC000007
1370,KSFC000007
1371,KSFC000007
1372,KSFC000007
1373,KSFC000007
1374,KSFC000007
1375,KSFC000007
1376,KSFC000007
1377,KSFC000007
1378,KSFC000007
1379,KSFC000007
1380,KSFC000007
1381,KSFC000007
1382,KSFC000007
1383,KSFC000007
1384,KSFC000007
1385,KSFC000007
1386,KSFC000007
1387,KSFC000007
1388,KSFC000007
1389,KSFC000007
1390,KSFC000007
1391,KSFC000007
1392,KSFC000007
1393,KSFC000007
1394,KSFC000007
1395,KSFC000007
1396,KSFC000007
1397,KSFC000007
1398,KSFC000007
1399,KSFC000007
1400,KSFC000007
1401,KSFC000007
1402,KSFC000007
1403,KSFC000007
1404,KSFC000007
1405,KSFC000007
1406,KSFC000007
1407,KSFC000007
1408,KSFC000007
1409,KSFC000007
1410,KSFC000007
1411,KSFC000007
1412,KSFC000007
1413,KSFC000007
1414,KSFC000007
1415,KSFC000007
1416,KSFC000007
1417,KSFC000007
1418,KSFC000007
1419,KSFC000007
1420,KSFC000007
1421,KSFC000007
